gene,n_regulators,r2_base_model,r2_full_model,improvement_from_regulators,has_significant_interactions,interaction_p_value,regulator_types
MOC2A_CHLRE_FUN_005353,30,0.47696357204571305,0.9885777114644118,0.5116141394186987,True,0.0001397098563425958,"['mirna_Cluster_16354', 'mirna_Cluster_14532', 'mirna_Cluster_3301', 'mirna_Cluster_2500', 'mirna_Cluster_5516', 'mirna_Cluster_17245', 'mirna_Cluster_4036', 'mirna_Cluster_2372', 'mirna_Cluster_9420', 'mirna_Cluster_15097', 'lncrna_lncRNA_3220', 'lncrna_lncRNA_51246', 'lncrna_lncRNA_10198', 'lncrna_lncRNA_18420', 'lncrna_lncRNA_13659', 'lncrna_lncRNA_25971', 'lncrna_lncRNA_2970', 'lncrna_lncRNA_42893', 'lncrna_lncRNA_51248', 'lncrna_lncRNA_25952', 'methylation_CpG_ptg000030l_2148033', 'methylation_CpG_ptg000022l_5440529', 'methylation_CpG_ptg000030l_2148141', 'methylation_CpG_ptg000027l_13568474', 'methylation_CpG_ptg000027l_13568498', 'methylation_CpG_ptg000030l_2148108', 'methylation_CpG_ptg000030l_2148069', 'methylation_CpG_ptg000030l_2148096', 'methylation_CpG_ptg000027l_11257209', 'methylation_CpG_ptg000018l_13662264']"
IF2P_HUMAN_FUN_006986,30,0.1777762926646751,0.9961308499333124,0.8183545572686373,True,1.6913512967953181e-07,"['mirna_Cluster_16354', 'mirna_Cluster_14532', 'mirna_Cluster_5516', 'mirna_Cluster_15097', 'mirna_Cluster_2746', 'mirna_Cluster_3301', 'mirna_Cluster_11565', 'mirna_Cluster_17245', 'mirna_Cluster_14605', 'mirna_Cluster_2372', 'lncrna_lncRNA_38494', 'lncrna_lncRNA_38493', 'lncrna_lncRNA_19766', 'lncrna_lncRNA_48693', 'lncrna_lncRNA_48694', 'lncrna_lncRNA_38496', 'lncrna_lncRNA_38492', 'lncrna_lncRNA_14655', 'lncrna_lncRNA_20418', 'lncrna_lncRNA_38491', 'methylation_CpG_ptg000047l_4021399', 'methylation_CpG_ptg000023l_29344852', 'methylation_CpG_ptg000004l_4757204', 'methylation_CpG_ptg000011l_8393678', 'methylation_CpG_ptg000031l_8422874', 'methylation_CpG_ptg000047l_4021443', 'methylation_CpG_ptg000023l_35051554', 'methylation_CpG_ptg000031l_10997083', 'methylation_CpG_ptg000031l_8422870', 'methylation_CpG_ptg000011l_967757']"
FUN_043265,20,0.7924225111877978,0.9454594502065543,0.15303693901875648,True,0.01487557867170819,"['lncrna_lncRNA_368', 'lncrna_lncRNA_088', 'lncrna_lncRNA_372', 'lncrna_lncRNA_25870', 'lncrna_lncRNA_236', 'lncrna_lncRNA_373', 'lncrna_lncRNA_38739', 'lncrna_lncRNA_37613', 'lncrna_lncRNA_37612', 'lncrna_lncRNA_43070', 'methylation_CpG_ptg000031l_8422874', 'methylation_CpG_ptg000027l_11257209', 'methylation_CpG_ptg000008l_25384626', 'methylation_CpG_ptg000030l_3155863', 'methylation_CpG_ptg000031l_8422870', 'methylation_CpG_ptg000023l_17397288', 'methylation_CpG_ptg000022l_5440529', 'methylation_CpG_ptg000027l_11257181', 'methylation_CpG_ntLink_6_13134796', 'methylation_CpG_ntLink_6_13134052']"
FUN_009430,24,0.08466908972573084,0.9403399620398247,0.8556708723140939,True,2.633170330423873e-05,"['mirna_Cluster_17173', 'mirna_Cluster_17192', 'mirna_Cluster_11565', 'mirna_Cluster_3301', 'lncrna_lncRNA_11081', 'lncrna_lncRNA_2667', 'lncrna_lncRNA_14762', 'lncrna_lncRNA_4478', 'lncrna_lncRNA_3335', 'lncrna_lncRNA_33536', 'lncrna_lncRNA_33535', 'lncrna_lncRNA_8827', 'lncrna_lncRNA_4489', 'lncrna_lncRNA_093', 'methylation_CpG_ptg000023l_17397340', 'methylation_CpG_ptg000004l_4757198', 'methylation_CpG_ntLink_6_13134790', 'methylation_CpG_ntLink_6_13134800', 'methylation_CpG_ntLink_6_13134839', 'methylation_CpG_ntLink_6_13134796', 'methylation_CpG_ntLink_6_13134052', 'methylation_CpG_ptg000047l_4021456', 'methylation_CpG_ntLink_6_13134803', 'methylation_CpG_ptg000047l_4021443']"
SVEP1_RAT_FUN_009048,21,0.14269998584525911,0.8821879898711421,0.739488004025883,True,0.0002609696094831859,"['mirna_Cluster_15097', 'lncrna_lncRNA_8532', 'lncrna_lncRNA_27046', 'lncrna_lncRNA_35309', 'lncrna_lncRNA_37314', 'lncrna_lncRNA_35242', 'lncrna_lncRNA_27763', 'lncrna_lncRNA_35243', 'lncrna_lncRNA_45015', 'lncrna_lncRNA_42660', 'lncrna_lncRNA_22315', 'methylation_CpG_ptg000001l_3069457', 'methylation_CpG_ptg000011l_8394054', 'methylation_CpG_ptg000015l_2160436', 'methylation_CpG_ptg000011l_8393679', 'methylation_CpG_ntLink_8_34790345', 'methylation_CpG_ntLink_8_34790315', 'methylation_CpG_ptg000015l_6211723', 'methylation_CpG_ptg000025l_13839170', 'methylation_CpG_ptg000011l_8393022', 'methylation_CpG_ptg000011l_967726']"
PPIB_CHICK_FUN_005454,24,0.10731228241567015,0.8870508524140863,0.7797385699984162,True,0.0020666061866094765,"['mirna_Cluster_16354', 'mirna_Cluster_9706', 'mirna_Cluster_17192', 'mirna_Cluster_4752', 'lncrna_lncRNA_25657', 'lncrna_lncRNA_3431', 'lncrna_lncRNA_46436', 'lncrna_lncRNA_16365', 'lncrna_lncRNA_4436', 'lncrna_lncRNA_20757', 'lncrna_lncRNA_21598', 'lncrna_lncRNA_26639', 'lncrna_lncRNA_3420', 'lncrna_lncRNA_49003', 'methylation_CpG_ptg000015l_6211723', 'methylation_CpG_ptg000031l_8422870', 'methylation_CpG_ptg000011l_8393332', 'methylation_CpG_ntLink_8_16166797', 'methylation_CpG_ptg000030l_2148036', 'methylation_CpG_ptg000033l_1262372', 'methylation_CpG_ntLink_8_16166893', 'methylation_CpG_ptg000018l_8065358', 'methylation_CpG_ptg000016l_5715674', 'methylation_CpG_ptg000011l_8391178']"
FUN_004528,27,0.09579290689171727,0.8970423206304858,0.8012494137387686,True,0.012002284099821625,"['mirna_Cluster_14146', 'mirna_Cluster_2372', 'mirna_Cluster_5516', 'mirna_Cluster_5603', 'mirna_Cluster_1832', 'mirna_Cluster_4036', 'mirna_Cluster_14532', 'lncrna_lncRNA_53893', 'lncrna_lncRNA_54307', 'lncrna_lncRNA_54306', 'lncrna_lncRNA_20121', 'lncrna_lncRNA_4062', 'lncrna_lncRNA_4063', 'lncrna_lncRNA_32640', 'lncrna_lncRNA_4066', 'lncrna_lncRNA_2326', 'lncrna_lncRNA_54249', 'methylation_CpG_ptg000011l_8392776', 'methylation_CpG_ptg000009l_7035575', 'methylation_CpG_ptg000011l_967757', 'methylation_CpG_ntLink_8_34790312', 'methylation_CpG_ptg000009l_7035562', 'methylation_CpG_ptg000009l_7035570', 'methylation_CpG_ptg000015l_6211680', 'methylation_CpG_ntLink_8_34790345', 'methylation_CpG_ptg000009l_7035550', 'methylation_CpG_ptg000012l_8046997']"
FUN_000539,22,0.09212391093863181,0.9189704899711029,0.826846579032471,True,2.5929161680759982e-05,"['mirna_Cluster_2746', 'mirna_Cluster_15097', 'lncrna_lncRNA_26775', 'lncrna_lncRNA_48747', 'lncrna_lncRNA_31374', 'lncrna_lncRNA_18915', 'lncrna_lncRNA_41458', 'lncrna_lncRNA_27058', 'lncrna_lncRNA_2906', 'lncrna_lncRNA_30144', 'lncrna_lncRNA_30149', 'lncrna_lncRNA_47421', 'methylation_CpG_ptg000011l_5627236', 'methylation_CpG_ptg000024l_8612179', 'methylation_CpG_ptg000011l_8391239', 'methylation_CpG_ptg000024l_8612165', 'methylation_CpG_ntLink_6_13134955', 'methylation_CpG_ptg000024l_8612211', 'methylation_CpG_ptg000024l_8612241', 'methylation_CpG_ptg000025l_14126701', 'methylation_CpG_ntLink_8_16166900', 'methylation_CpG_ptg000030l_3155863']"
MOS_PATPE_FUN_010585,23,0.09417037489423363,0.8002976941815857,0.7061273192873521,True,0.028608581376978526,"['mirna_Cluster_4754', 'mirna_Cluster_9706', 'mirna_Cluster_3227', 'lncrna_lncRNA_43316', 'lncrna_lncRNA_20214', 'lncrna_lncRNA_6987', 'lncrna_lncRNA_6988', 'lncrna_lncRNA_20178', 'lncrna_lncRNA_6986', 'lncrna_lncRNA_38587', 'lncrna_lncRNA_17995', 'lncrna_lncRNA_44656', 'lncrna_lncRNA_12225', 'methylation_CpG_ptg000030l_3155863', 'methylation_CpG_ptg000030l_2148069', 'methylation_CpG_ntLink_8_16166893', 'methylation_CpG_ptg000011l_8393679', 'methylation_CpG_ptg000018l_8065358', 'methylation_CpG_ptg000008l_25384626', 'methylation_CpG_ptg000011l_8393715', 'methylation_CpG_ptg000023l_17397315', 'methylation_CpG_ptg000030l_3155880', 'methylation_CpG_ptg000020l_10589614']"
FUN_039332,29,0.272664302283272,0.949004052777788,0.676339750494516,True,0.006696933394637838,"['mirna_Cluster_3227', 'mirna_Cluster_9706', 'mirna_Cluster_11565', 'mirna_Cluster_9380', 'mirna_Cluster_5603', 'mirna_Cluster_1833', 'mirna_Cluster_9786', 'mirna_Cluster_2372', 'mirna_Cluster_1832', 'lncrna_lncRNA_37593', 'lncrna_lncRNA_32208', 'lncrna_lncRNA_23805', 'lncrna_lncRNA_30913', 'lncrna_lncRNA_30914', 'lncrna_lncRNA_51574', 'lncrna_lncRNA_8495', 'lncrna_lncRNA_8494', 'lncrna_lncRNA_23804', 'lncrna_lncRNA_29761', 'methylation_CpG_ptg000008l_25384624', 'methylation_CpG_ptg000009l_18122328', 'methylation_CpG_ptg000008l_25384626', 'methylation_CpG_ntLink_8_16166797', 'methylation_CpG_ptg000016l_3294380', 'methylation_CpG_ntLink_8_16166900', 'methylation_CpG_ptg000021l_6264633', 'methylation_CpG_ptg000027l_11257122', 'methylation_CpG_ptg000021l_6264620', 'methylation_CpG_ptg000012l_8971701']"
NBAS_DANRE_FUN_005384,21,0.09524416315718187,0.9200187695843006,0.8247746064271188,True,7.622480625357753e-06,"['mirna_Cluster_5685', 'lncrna_lncRNA_7636', 'lncrna_lncRNA_7637', 'lncrna_lncRNA_7639', 'lncrna_lncRNA_25315', 'lncrna_lncRNA_7638', 'lncrna_lncRNA_18541', 'lncrna_lncRNA_36714', 'lncrna_lncRNA_36716', 'lncrna_lncRNA_41669', 'lncrna_lncRNA_18169', 'methylation_CpG_ptg000011l_8391132', 'methylation_CpG_ptg000011l_8393678', 'methylation_CpG_ptg000011l_8391178', 'methylation_CpG_ptg000031l_8422870', 'methylation_CpG_ptg000027l_11257209', 'methylation_CpG_ptg000008l_25384626', 'methylation_CpG_ptg000031l_8422617', 'methylation_CpG_ptg000023l_17397288', 'methylation_CpG_ptg000027l_11257129', 'methylation_CpG_ptg000016l_3294380']"
