gene,n_regulators,r2_base_model,r2_full_model,improvement_from_regulators,has_significant_interactions,interaction_p_value,regulator_types
TIM22_XENLA_FUN_015058,30,0.3167424008069367,0.9549965922639981,0.6382541914570614,True,0.012230597460374582,"['mirna_Cluster_14532', 'mirna_Cluster_13327', 'mirna_Cluster_1819', 'mirna_Cluster_5516', 'mirna_Cluster_3301', 'mirna_Cluster_1865', 'mirna_Cluster_14605', 'mirna_Cluster_17623', 'mirna_Cluster_16354', 'mirna_Cluster_15097', 'lncrna_lncRNA_27862', 'lncrna_lncRNA_872', 'lncrna_lncRNA_27859', 'lncrna_lncRNA_27860', 'lncrna_lncRNA_27861', 'lncrna_lncRNA_43074', 'lncrna_lncRNA_34908', 'lncrna_lncRNA_18508', 'lncrna_lncRNA_42929', 'lncrna_lncRNA_3035', 'methylation_CpG_ptg000030l_2148033', 'methylation_CpG_ptg000018l_14489745', 'methylation_CpG_ptg000012l_8047034', 'methylation_CpG_ptg000030l_2148141', 'methylation_CpG_ptg000022l_5440529', 'methylation_CpG_ptg000031l_10997083', 'methylation_CpG_ptg000027l_11257209', 'methylation_CpG_ptg000027l_11257181', 'methylation_CpG_ptg000016l_5715722', 'methylation_CpG_ptg000011l_967757']"
RM12_BOVIN_FUN_038257,30,0.36943187856526316,0.9848695804222133,0.6154377018569501,True,0.00020836006035407362,"['mirna_Cluster_14532', 'mirna_Cluster_16354', 'mirna_Cluster_15097', 'mirna_Cluster_17245', 'mirna_Cluster_2372', 'mirna_Cluster_3301', 'mirna_Cluster_5516', 'mirna_Cluster_17623', 'mirna_Cluster_9420', 'mirna_Cluster_2500', 'lncrna_lncRNA_8437', 'lncrna_lncRNA_8438', 'lncrna_lncRNA_8439', 'lncrna_lncRNA_18392', 'lncrna_lncRNA_8596', 'lncrna_lncRNA_15381', 'lncrna_lncRNA_8444', 'lncrna_lncRNA_18508', 'lncrna_lncRNA_8452', 'lncrna_lncRNA_8453', 'methylation_CpG_ptg000030l_2148033', 'methylation_CpG_ptg000027l_11257209', 'methylation_CpG_ptg000030l_2148141', 'methylation_CpG_ptg000030l_2148036', 'methylation_CpG_ptg000027l_11257181', 'methylation_CpG_ptg000030l_2148108', 'methylation_CpG_ptg000015l_2160436', 'methylation_CpG_ptg000018l_13662264', 'methylation_CpG_ptg000016l_5715722', 'methylation_CpG_ptg000012l_8047034']"
FUN_015244,30,0.35142795832512275,0.8772065990090686,0.5257786406839459,False,0.3408067305394282,"['mirna_Cluster_4036', 'mirna_Cluster_16354', 'mirna_Cluster_14532', 'mirna_Cluster_5516', 'mirna_Cluster_2746', 'mirna_Cluster_1832', 'mirna_Cluster_9420', 'mirna_Cluster_10452', 'mirna_Cluster_13647', 'mirna_Cluster_2372', 'lncrna_lncRNA_26772', 'lncrna_lncRNA_2950', 'lncrna_lncRNA_20107', 'lncrna_lncRNA_4141', 'lncrna_lncRNA_4142', 'lncrna_lncRNA_2951', 'lncrna_lncRNA_3999', 'lncrna_lncRNA_7289', 'lncrna_lncRNA_28125', 'lncrna_lncRNA_29682', 'methylation_CpG_ptg000023l_35051554', 'methylation_CpG_ptg000001l_3069526', 'methylation_CpG_ptg000001l_3069524', 'methylation_CpG_ptg000001l_3069507', 'methylation_CpG_ptg000025l_13842110', 'methylation_CpG_ptg000025l_13842132', 'methylation_CpG_ptg000012l_8047034', 'methylation_CpG_ptg000025l_13842137', 'methylation_CpG_ptg000025l_13842128', 'methylation_CpG_ntLink_8_16166900']"
MSHA_PAEAT_FUN_018159,30,0.23889912852785655,0.9355341376592325,0.696635009131376,True,0.030604725778995978,"['mirna_Cluster_17623', 'mirna_Cluster_1865', 'mirna_Cluster_3109', 'mirna_Cluster_2500', 'mirna_Cluster_1819', 'mirna_Cluster_3227', 'mirna_Cluster_9366', 'mirna_Cluster_14532', 'mirna_Cluster_14605', 'mirna_Cluster_4026', 'lncrna_lncRNA_42649', 'lncrna_lncRNA_43195', 'lncrna_lncRNA_13401', 'lncrna_lncRNA_13481', 'lncrna_lncRNA_21983', 'lncrna_lncRNA_13484', 'lncrna_lncRNA_13482', 'lncrna_lncRNA_13483', 'lncrna_lncRNA_5523', 'lncrna_lncRNA_13400', 'methylation_CpG_ptg000031l_10997083', 'methylation_CpG_ptg000012l_8971736', 'methylation_CpG_ptg000031l_8422811', 'methylation_CpG_ptg000018l_14489745', 'methylation_CpG_ptg000027l_13568456', 'methylation_CpG_ptg000012l_8971727', 'methylation_CpG_ptg000027l_2551252', 'methylation_CpG_ptg000012l_8971701', 'methylation_CpG_ptg000012l_8971712', 'methylation_CpG_ptg000027l_13568421']"
FUN_004911,28,0.24002642752039116,0.9836091726512202,0.743582745130829,True,7.082386875412183e-06,"['mirna_Cluster_13327', 'mirna_Cluster_1865', 'mirna_Cluster_5603', 'mirna_Cluster_5517', 'mirna_Cluster_13647', 'mirna_Cluster_1832', 'mirna_Cluster_4026', 'mirna_Cluster_9532', 'lncrna_lncRNA_16047', 'lncrna_lncRNA_1047', 'lncrna_lncRNA_34748', 'lncrna_lncRNA_36842', 'lncrna_lncRNA_14038', 'lncrna_lncRNA_40936', 'lncrna_lncRNA_45065', 'lncrna_lncRNA_14748', 'lncrna_lncRNA_14749', 'lncrna_lncRNA_53732', 'methylation_CpG_ptg000018l_14489745', 'methylation_CpG_ptg000016l_3294397', 'methylation_CpG_ptg000011l_8392977', 'methylation_CpG_ptg000011l_8393022', 'methylation_CpG_ptg000016l_3294411', 'methylation_CpG_ptg000012l_8046972', 'methylation_CpG_ptg000016l_3294415', 'methylation_CpG_ntLink_6_13134419', 'methylation_CpG_ptg000031l_13053283', 'methylation_CpG_ptg000023l_17397326']"
FUN_043706,21,0.1521806194139822,0.9438835170857761,0.7917028976717939,True,6.830988892314593e-07,"['mirna_Cluster_4754', 'lncrna_lncRNA_51598', 'lncrna_lncRNA_45927', 'lncrna_lncRNA_35143', 'lncrna_lncRNA_37985', 'lncrna_lncRNA_37984', 'lncrna_lncRNA_45926', 'lncrna_lncRNA_45925', 'lncrna_lncRNA_115', 'lncrna_lncRNA_52203', 'lncrna_lncRNA_8468', 'methylation_CpG_ptg000030l_2148069', 'methylation_CpG_ptg000012l_8971736', 'methylation_CpG_ptg000012l_8971785', 'methylation_CpG_ptg000029c_793095', 'methylation_CpG_ptg000027l_13568450', 'methylation_CpG_ptg000011l_8395973', 'methylation_CpG_ptg000031l_8422811', 'methylation_CpG_ptg000025l_13842062', 'methylation_CpG_ptg000027l_13568456', 'methylation_CpG_ptg000029c_793082']"
TF2B_MOUSE_FUN_022376,28,0.2348316966779591,0.9617461902484138,0.7269144935704547,True,0.0005307738348028224,"['mirna_Cluster_13647', 'mirna_Cluster_13327', 'mirna_Cluster_14633', 'mirna_Cluster_5517', 'mirna_Cluster_1865', 'mirna_Cluster_2500', 'mirna_Cluster_1833', 'mirna_Cluster_14532', 'lncrna_lncRNA_22316', 'lncrna_lncRNA_22315', 'lncrna_lncRNA_20101', 'lncrna_lncRNA_53980', 'lncrna_lncRNA_27189', 'lncrna_lncRNA_36988', 'lncrna_lncRNA_27859', 'lncrna_lncRNA_27860', 'lncrna_lncRNA_27861', 'lncrna_lncRNA_27862', 'methylation_CpG_ptg000031l_8422617', 'methylation_CpG_ptg000011l_967757', 'methylation_CpG_ptg000016l_5715722', 'methylation_CpG_ptg000060c_58340', 'methylation_CpG_ptg000030l_2148033', 'methylation_CpG_ntLink_6_13134796', 'methylation_CpG_ntLink_6_13134803', 'methylation_CpG_ptg000030l_2148141', 'methylation_CpG_ntLink_6_13134839', 'methylation_CpG_ptg000015l_2160436']"
6PGD_HUMAN_FUN_012684,30,0.1875261038940208,0.965814265681799,0.7782881617877782,True,0.002130195827461878,"['mirna_Cluster_13327', 'mirna_Cluster_3301', 'mirna_Cluster_13647', 'mirna_Cluster_14532', 'mirna_Cluster_16354', 'mirna_Cluster_9420', 'mirna_Cluster_5517', 'mirna_Cluster_15097', 'mirna_Cluster_4754', 'mirna_Cluster_5516', 'lncrna_lncRNA_14910', 'lncrna_lncRNA_1129', 'lncrna_lncRNA_26927', 'lncrna_lncRNA_2770', 'lncrna_lncRNA_19791', 'lncrna_lncRNA_1108', 'lncrna_lncRNA_31119', 'lncrna_lncRNA_3035', 'lncrna_lncRNA_42929', 'lncrna_lncRNA_17993', 'methylation_CpG_ptg000030l_2148033', 'methylation_CpG_ptg000027l_11257181', 'methylation_CpG_ptg000030l_2148141', 'methylation_CpG_ptg000030l_2148108', 'methylation_CpG_ptg000016l_5715722', 'methylation_CpG_ptg000030l_2148036', 'methylation_CpG_ptg000030l_2148069', 'methylation_CpG_ptg000027l_11257209', 'methylation_CpG_ptg000011l_967757', 'methylation_CpG_ptg000030l_2148096']"
FUN_038830,20,0.4813017121058485,0.9136702208027585,0.43236850869691,True,0.00047747396538122544,"['lncrna_lncRNA_3181', 'lncrna_lncRNA_14731', 'lncrna_lncRNA_14730', 'lncrna_lncRNA_30937', 'lncrna_lncRNA_42628', 'lncrna_lncRNA_38176', 'lncrna_lncRNA_45369', 'lncrna_lncRNA_45371', 'lncrna_lncRNA_45370', 'lncrna_lncRNA_45373', 'methylation_CpG_ptg000025l_13842062', 'methylation_CpG_ptg000025l_13842110', 'methylation_CpG_ptg000009l_7035575', 'methylation_CpG_ntLink_8_23080768', 'methylation_CpG_ptg000020l_10589614', 'methylation_CpG_ptg000020l_10589616', 'methylation_CpG_ptg000025l_13842137', 'methylation_CpG_ptg000025l_13842125', 'methylation_CpG_ptg000047l_4021399', 'methylation_CpG_ptg000011l_8394044']"
FUN_035858,20,0.8574024094762132,0.9400057279999825,0.08260331852376934,False,0.24621617658484718,"['lncrna_lncRNA_28620', 'lncrna_lncRNA_28619', 'lncrna_lncRNA_27979', 'lncrna_lncRNA_27978', 'lncrna_lncRNA_29648', 'lncrna_lncRNA_29647', 'lncrna_lncRNA_27977', 'lncrna_lncRNA_35212', 'lncrna_lncRNA_51448', 'lncrna_lncRNA_51447', 'methylation_CpG_ptg000004l_4757512', 'methylation_CpG_ptg000011l_8396448', 'methylation_CpG_ptg000023l_17397315', 'methylation_CpG_ptg000007l_5089341', 'methylation_CpG_ptg000018l_8065358', 'methylation_CpG_ptg000023l_1199651', 'methylation_CpG_ptg000008l_12977382', 'methylation_CpG_ptg000030l_2148036', 'methylation_CpG_ptg000027l_11257094', 'methylation_CpG_ptg000008l_12977341']"
FUN_028442,30,0.16389267764981985,0.9709781807126572,0.8070855030628373,True,0.000973368374258432,"['mirna_Cluster_4754', 'mirna_Cluster_17245', 'mirna_Cluster_3226', 'mirna_Cluster_3227', 'mirna_Cluster_2372', 'mirna_Cluster_2500', 'mirna_Cluster_9706', 'mirna_Cluster_15097', 'mirna_Cluster_14610', 'mirna_Cluster_16354', 'lncrna_lncRNA_54143', 'lncrna_lncRNA_54144', 'lncrna_lncRNA_53739', 'lncrna_lncRNA_447', 'lncrna_lncRNA_444', 'lncrna_lncRNA_445', 'lncrna_lncRNA_446', 'lncrna_lncRNA_43020', 'lncrna_lncRNA_43021', 'lncrna_lncRNA_43022', 'methylation_CpG_ptg000012l_8971785', 'methylation_CpG_ptg000012l_8971736', 'methylation_CpG_ptg000030l_2148069', 'methylation_CpG_ptg000025l_13842128', 'methylation_CpG_ptg000025l_13842062', 'methylation_CpG_ptg000020l_10589616', 'methylation_CpG_ptg000018l_13662264', 'methylation_CpG_ptg000020l_10589614', 'methylation_CpG_ptg000030l_2148141', 'methylation_CpG_ptg000030l_2148096']"
FUN_018331,30,0.4601731234320966,0.962486082860071,0.5023129594279744,True,0.01493825352036493,"['mirna_Cluster_3109', 'mirna_Cluster_1819', 'mirna_Cluster_17623', 'mirna_Cluster_12083', 'mirna_Cluster_14532', 'mirna_Cluster_12087', 'mirna_Cluster_2500', 'mirna_Cluster_14605', 'mirna_Cluster_5516', 'mirna_Cluster_1865', 'lncrna_lncRNA_26878', 'lncrna_lncRNA_3048', 'lncrna_lncRNA_22317', 'lncrna_lncRNA_25853', 'lncrna_lncRNA_10818', 'lncrna_lncRNA_48781', 'lncrna_lncRNA_340', 'lncrna_lncRNA_20823', 'lncrna_lncRNA_19964', 'lncrna_lncRNA_46604', 'methylation_CpG_ptg000011l_8396448', 'methylation_CpG_ptg000024l_8612235', 'methylation_CpG_ptg000011l_8391239', 'methylation_CpG_ptg000015l_2160436', 'methylation_CpG_ptg000011l_8391292', 'methylation_CpG_ptg000011l_8391288', 'methylation_CpG_ptg000024l_8612204', 'methylation_CpG_ptg000011l_8393629', 'methylation_CpG_ptg000011l_8393753', 'methylation_CpG_ntLink_6_13134419']"
FUN_003644,17,0.8527214677702325,0.9338162499326049,0.08109478216237243,False,0.12683260440413757,"['lncrna_lncRNA_43016', 'lncrna_lncRNA_43017', 'lncrna_lncRNA_27359', 'lncrna_lncRNA_48973', 'lncrna_lncRNA_5284', 'lncrna_lncRNA_28393', 'lncrna_lncRNA_33709', 'lncrna_lncRNA_47143', 'lncrna_lncRNA_54741', 'lncrna_lncRNA_43724', 'methylation_CpG_ptg000011l_8391239', 'methylation_CpG_ptg000004l_4757512', 'methylation_CpG_ptg000011l_8396448', 'methylation_CpG_ptg000030l_2148036', 'methylation_CpG_ptg000027l_11256965', 'methylation_CpG_ptg000008l_12977384', 'methylation_CpG_ptg000008l_12977382']"
KCNAG_CAEEL_FUN_042581,30,0.23840751425983997,0.9868253436842053,0.7484178294243653,True,5.149651189040316e-05,"['mirna_Cluster_15097', 'mirna_Cluster_1865', 'mirna_Cluster_5517', 'mirna_Cluster_9366', 'mirna_Cluster_14610', 'mirna_Cluster_14605', 'mirna_Cluster_1819', 'mirna_Cluster_2746', 'mirna_Cluster_5685', 'mirna_Cluster_4026', 'lncrna_lncRNA_30144', 'lncrna_lncRNA_49118', 'lncrna_lncRNA_30146', 'lncrna_lncRNA_33251', 'lncrna_lncRNA_36597', 'lncrna_lncRNA_47558', 'lncrna_lncRNA_48280', 'lncrna_lncRNA_52161', 'lncrna_lncRNA_52160', 'lncrna_lncRNA_4078', 'methylation_CpG_ptg000024l_8612204', 'methylation_CpG_ptg000025l_14126680', 'methylation_CpG_ptg000001l_3069457', 'methylation_CpG_ptg000031l_8422870', 'methylation_CpG_ptg000011l_8391239', 'methylation_CpG_ntLink_6_19705309', 'methylation_CpG_ptg000027l_11257081', 'methylation_CpG_ptg000004l_4757244', 'methylation_CpG_ptg000018l_14489745', 'methylation_CpG_ptg000060c_58292']"
FUN_032914,23,0.18934284607512375,0.9784523989465975,0.7891095528714738,True,8.587230149181835e-09,"['mirna_Cluster_3227', 'mirna_Cluster_9706', 'mirna_Cluster_15097', 'lncrna_lncRNA_3708', 'lncrna_lncRNA_42938', 'lncrna_lncRNA_9143', 'lncrna_lncRNA_8604', 'lncrna_lncRNA_7190', 'lncrna_lncRNA_7191', 'lncrna_lncRNA_8907', 'lncrna_lncRNA_8906', 'lncrna_lncRNA_23804', 'lncrna_lncRNA_44814', 'methylation_CpG_ptg000008l_25384624', 'methylation_CpG_ptg000033l_1262372', 'methylation_CpG_ptg000016l_3294380', 'methylation_CpG_ptg000031l_8422911', 'methylation_CpG_ptg000023l_1199639', 'methylation_CpG_ptg000022l_5440529', 'methylation_CpG_ptg000009l_7035550', 'methylation_CpG_ptg000008l_25384626', 'methylation_CpG_ptg000024l_8612165', 'methylation_CpG_ptg000009l_7035570']"
R213A_DANRE_FUN_042904,20,0.5081171965316236,0.7958253604135335,0.2877081638819099,False,0.2308806928013245,"['lncrna_lncRNA_20214', 'lncrna_lncRNA_27842', 'lncrna_lncRNA_54016', 'lncrna_lncRNA_3371', 'lncrna_lncRNA_3372', 'lncrna_lncRNA_32614', 'lncrna_lncRNA_32612', 'lncrna_lncRNA_32613', 'lncrna_lncRNA_32615', 'lncrna_lncRNA_9129', 'methylation_CpG_ptg000008l_25384626', 'methylation_CpG_ptg000012l_15244520', 'methylation_CpG_ptg000004l_4759974', 'methylation_CpG_ptg000030l_2148069', 'methylation_CpG_ptg000031l_8422811', 'methylation_CpG_ptg000030l_3155863', 'methylation_CpG_ptg000007l_9141311', 'methylation_CpG_ptg000011l_8393678', 'methylation_CpG_ptg000031l_8422617', 'methylation_CpG_ptg000024l_8612204']"
