mirna_id,POR-216-TP1,POR-216-TP2,POR-216-TP3,POR-216-TP4,POR-236-TP1,POR-236-TP2,POR-245-TP1,POR-245-TP2,POR-245-TP3,POR-245-TP4,POR-260-TP1,POR-260-TP2,POR-260-TP3,POR-260-TP4,POR-262-TP1,POR-262-TP2,POR-262-TP3,POR-262-TP4,POR-69-TP1,POR-69-TP2,POR-69-TP4,POR-72-TP1,POR-72-TP2,POR-72-TP3,POR-72-TP4,POR-73-TP1,POR-73-TP3,POR-73-TP4,POR-74-TP1,POR-74-TP2,POR-74-TP3,POR-74-TP4,POR-83-TP1,POR-83-TP2,POR-83-TP3,POR-83-TP4
Cluster_3676,2336,251,2936,5,3591,0,2744,40,280,191,4090,175,375,570,2414,5,0,0,3204,1,49,1190,2283,89,2970,2125,2448,79,1781,548,90,0,74,5847,1,255
Cluster_4160,1288,250,785,0,1531,0,4195,25,240,32,1835,18,686,158,3773,2,0,0,2506,0,3,904,1698,147,6080,1448,2256,88,1669,753,54,0,70,10438,0,450
Cluster_4161,549,34,0,0,191,0,546,1,21,3,336,0,40,13,359,0,0,0,409,0,1,1102,1080,24,810,121,83,27,691,28,5,0,0,2225,0,10
Cluster_4229,219,28,123,0,234,0,389,6,41,31,121,2,20,16,355,0,0,0,172,0,0,127,211,11,349,203,629,9,170,110,24,0,14,430,0,14
Cluster_4247,228,143,207,0,317,0,2128,4,50,18,245,5,332,32,2326,1,0,0,452,0,12,400,340,73,2587,315,2651,12,218,217,13,0,33,1822,0,184
Cluster_4968,600,36,1630,2,640,0,438,6,97,73,218,3,13,35,406,1,0,0,813,0,7,133,229,11,345,190,430,9,440,84,41,0,60,1509,0,172
Cluster_5058,18,13,0,0,1,0,250,1,0,0,68,0,51,8,136,0,0,0,89,0,0,42,75,4,229,13,64,0,92,59,14,0,0,92,0,0
Cluster_5257,538,13,408,10,254,0,226,1,10,24,216,4,10,36,304,1,0,0,508,0,4,70,106,6,155,48,51,25,271,71,21,0,20,989,1,60
Cluster_5613,42,16,16,0,177,0,383,4,17,3,75,2,32,8,146,0,0,0,242,0,1,61,103,5,289,51,224,2,150,84,27,0,1,420,0,9
Cluster_6099,476,9,561,3,420,0,90,17,25,82,170,25,5,36,83,0,0,0,440,0,3,188,224,5,114,197,55,11,337,43,32,0,38,583,0,54
Cluster_6234,499,94,377,0,492,0,857,1,89,13,359,5,104,28,1144,0,0,0,1250,0,0,450,722,33,1220,493,498,33,526,238,27,0,27,2115,0,139
Cluster_6235,272,50,597,0,553,0,508,8,66,34,281,12,54,51,590,0,0,0,773,1,15,293,505,12,738,355,589,22,376,163,14,0,38,1001,1,71
Cluster_6236,327,182,228,0,323,0,418,0,31,33,207,3,60,27,1741,1,0,0,1095,0,1,354,611,84,3259,429,1909,18,398,312,22,0,32,1761,0,91
Cluster_6242,6343,2871,4810,17,8055,0,119965,104,863,356,7049,150,8631,388,54820,14,0,0,10545,5,88,5890,10124,1531,57024,6178,79195,297,5130,5617,355,0,341,16827,3,603
Cluster_6356,609,105,390,1,855,0,744,12,53,113,356,6,37,62,1195,0,0,0,2658,0,9,292,826,25,1161,722,1263,19,658,468,56,0,33,2385,0,153
Cluster_6918,810,50,1341,1,578,0,279,14,77,61,292,23,17,48,366,0,0,0,1167,1,11,233,466,15,482,332,321,54,469,197,43,0,26,943,0,58
Cluster_6919,0,50,0,2,579,0,280,11,75,62,295,26,20,45,369,0,0,0,1152,0,9,228,461,13,481,321,325,54,455,191,45,0,26,950,0,57
Cluster_7882,106,5,125,0,0,0,47,2,3,0,426,30,16,61,52,0,0,0,159,0,4,43,70,0,55,13,5,0,97,29,14,0,29,1921,0,73
Cluster_8071,3646,209,3112,14,8851,0,11914,130,1705,315,9676,577,357,582,15712,12,0,0,11747,5,158,3056,6144,266,7276,11519,6814,712,16960,4115,961,0,367,54336,7,2885
Cluster_8074,1794,30,51,4,363,0,393,1,445,241,117,8,5,37,723,4,0,0,1907,0,33,134,432,28,514,21568,4412,529,943,0,237,0,31,2683,5,678
Cluster_8075,1519,108,3661,3,11343,0,2023,110,1139,220,2206,131,70,185,2086,4,0,0,3422,0,57,1860,3713,142,3673,3972,1463,186,3731,1053,86,0,122,21723,1,688
Cluster_8147,7087,1041,4519,21,8430,0,7169,74,505,1079,3424,105,610,753,9027,14,0,0,15336,0,21,1446,4717,227,8288,3178,7217,230,4719,2898,226,1,222,14465,3,676
Cluster_9149,172,43,304,0,356,0,195,0,71,15,190,15,50,58,621,0,0,0,227,0,2,28,106,5,406,102,398,0,148,115,25,0,19,930,0,79
Cluster_9196,363,238,315,0,679,0,4510,24,355,60,588,31,413,149,5881,1,0,0,2185,0,20,392,612,112,4881,669,5016,86,657,1408,101,0,204,17835,0,1183
Cluster_9197,347,20,406,2,1292,0,348,40,222,139,693,12,43,49,1008,3,0,0,1545,0,5,450,767,10,1024,528,490,24,1081,436,102,0,290,4868,1,168
Cluster_9535,34,8,10,0,2,0,234,1,0,0,1,0,0,0,93,0,0,0,3,0,0,18,40,2,102,2,3,1,1,1,1,0,0,4,0,0
Cluster_10059,372,82,673,2,485,0,714,17,128,25,296,17,32,58,657,0,0,0,581,0,29,153,229,11,673,791,753,58,927,606,97,0,135,6261,0,334
Cluster_10229,96374,54268,21532,11,51228,0,456778,232,2184,991,31417,218,38393,1778,408313,14,1,0,69668,2,100,13004,21493,7041,417655,48553,640368,875,14303,55782,889,0,752,132711,2,4879
Cluster_11004,79,6,184,1,330,0,114,5,46,89,160,6,13,24,128,5,0,1,163,0,2,70,96,5,135,135,125,26,207,60,7,0,29,625,0,40
Cluster_11615,36,8,12,0,4,0,244,0,0,0,2,0,0,0,96,0,0,0,4,0,0,22,43,2,106,2,5,0,1,2,2,0,0,7,0,0
Cluster_13926,74,22,58,0,107,0,130,0,29,0,47,4,35,10,124,0,0,0,114,0,0,0,0,6,12,83,44,4,305,152,6,0,1,248,0,15
Cluster_14602,404,0,272,19,0,0,320,0,106,0,71,0,0,2,72,6,0,0,132,0,0,51,0,0,0,665,369,0,0,0,0,0,78,0,0,0
Cluster_14747,244,32,306,0,253,0,493,3,32,47,134,4,26,26,568,0,0,0,503,0,1,151,225,11,356,278,449,19,331,110,10,0,22,1148,0,63
Cluster_15329,58,18,74,0,189,0,407,13,107,57,71,11,12,33,826,0,0,0,335,0,0,26,43,6,234,53,408,5,0,0,0,0,72,2962,0,160
