mirna_id,POR-216-TP1,POR-216-TP2,POR-216-TP3,POR-216-TP4,POR-236-TP1,POR-236-TP2,POR-245-TP1,POR-245-TP2,POR-245-TP3,POR-245-TP4,POR-260-TP1,POR-260-TP2,POR-260-TP3,POR-260-TP4,POR-262-TP1,POR-262-TP2,POR-262-TP3,POR-262-TP4,POR-69-TP1,POR-69-TP2,POR-69-TP4,POR-72-TP1,POR-72-TP2,POR-72-TP3,POR-72-TP4,POR-73-TP1,POR-73-TP3,POR-73-TP4,POR-74-TP1,POR-74-TP2,POR-74-TP3,POR-74-TP4,POR-83-TP1,POR-83-TP2,POR-83-TP3,POR-83-TP4
Cluster_27,1459,456,990,1,2249,0,2590,21,139,119,1391,70,484,163,3862,1,0,0,3894,0,8,301,1125,95,3162,1436,4904,31,759,664,37,0,62,5934,1,285
Cluster_491,1243,90,1177,2,766,0,2370,5,86,124,429,12,300,50,1452,0,0,0,869,0,6,565,1104,55,1416,301,1507,21,660,264,17,0,45,1653,0,107
Cluster_661,11450,7577,6607,3,23588,0,98732,113,2059,239,6002,173,9308,1440,58565,5,0,1,21428,0,43,4481,13887,3805,194341,5129,72664,712,5436,67803,754,0,564,56469,4,2500
Cluster_670,18,21,0,0,0,0,0,0,16,0,3,0,30,0,178,0,0,0,0,0,0,0,21,7,0,0,72,6,25,0,0,0,10,354,0,2
Cluster_981,1103,95,692,1,936,0,557,17,127,84,384,11,45,34,606,0,0,0,2119,1,19,562,1535,17,874,627,1075,56,1009,260,54,0,44,1256,0,99
Cluster_1004,63960,11946,14981,44,43152,0,230515,517,6151,1137,26873,552,19825,3586,225871,62,4,2,66411,35,309,18879,75896,5495,220913,30500,257410,2025,35817,42591,2004,0,1522,173011,16,5804
Cluster_2392,242,349,303,0,453,0,7019,7,122,15,186,6,683,27,4245,0,0,0,804,0,15,330,421,195,8266,394,8910,11,290,1037,33,0,39,2306,0,98
Cluster_2454,14,18,0,0,8,0,264,0,0,3,14,0,4,0,176,0,0,0,40,0,0,12,37,10,404,13,202,1,8,21,2,0,4,168,0,3
Cluster_2478,568,188,509,0,928,0,1532,11,120,34,389,17,161,54,2696,2,0,0,1442,1,6,282,303,79,2232,737,3221,61,469,783,39,0,44,2426,0,148
Cluster_3165,163,40,109,0,137,0,376,3,32,1,207,3,89,19,403,1,0,0,464,0,3,113,258,20,359,53,140,1,131,100,6,0,1,1089,0,45
Cluster_3380,205,21,1890,0,420,0,233,40,140,29,603,63,39,363,176,1,0,0,589,0,78,48,89,0,179,297,254,116,260,201,197,0,189,6424,8,455
Cluster_3652,6319,829,8273,12,9053,0,10995,160,1103,618,4920,218,1584,913,8703,27,0,0,10319,0,72,2678,6649,236,8951,8437,8122,571,4170,3162,330,0,608,26602,2,1531
Cluster_3653,14452,209,48823,170,13826,0,6124,584,529,2255,8158,350,326,1066,3509,54,0,1,8630,3,156,3216,3706,75,2448,10758,6253,1388,13002,1437,3413,2,2570,17154,13,1566
Cluster_3672,196,77,608,0,992,0,2374,19,57,37,292,20,164,33,2238,0,0,0,219,0,8,105,158,26,1796,531,5375,53,198,236,37,0,17,2086,0,133
