gene_id,POC-201-TP1,POC-201-TP2,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-259-TP1,POC-259-TP2,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP2,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
gene-Pocillopora_meandrina_HIv1___RNAseq.g24666.t1,179,245,93,50,16,20,175,147,42,157,58,56,103,77,47,46,73,61,105,20,0,112,104,210,191,129,218,77,203,130,186,219
gene-Pocillopora_meandrina_HIv1___RNAseq.g25070.t1,1437,1925,2871,1663,329,1031,299,2320,697,362,939,1048,801,1198,568,695,776,473,684,286,175,1153,2214,1616,598,736,821,666,932,468,1324,389
gene-Pocillopora_meandrina_HIv1___RNAseq.g22881.t1,1894,3561,2596,2053,1108,1740,2013,3770,1468,2438,2581,2439,2218,2493,1515,1835,1499,1998,2618,2532,452,2549,3246,3028,1739,1565,2070,2089,1388,1452,1950,2331
gene-Pocillopora_meandrina_HIv1___RNAseq.g22968.t1,2488,1816,1501,1200,713,981,1932,4053,1323,2004,1411,785,1295,2358,1463,2174,2529,2331,1904,393,369,1951,2204,3036,1980,1716,2757,1847,2001,621,2670,2790
gene-Pocillopora_meandrina_HIv1___RNAseq.9341_t,542,947,813,565,152,205,1288,1154,483,556,548,296,715,1135,286,466,629,499,717,250,136,536,556,911,389,502,505,282,394,206,646,321
gene-Pocillopora_meandrina_HIv1___RNAseq.g27065.t1,30,69,62,14,11,11,71,51,16,17,17,9,30,37,25,29,10,17,27,11,0,33,16,51,30,22,48,21,50,23,36,41
gene-Pocillopora_meandrina_HIv1___RNAseq.g27785.t1,159,441,335,139,56,234,212,533,141,92,170,251,251,467,52,58,271,117,117,45,28,154,325,310,204,128,273,218,118,70,249,544
gene-Pocillopora_meandrina_HIv1___RNAseq.g27944.t1,607,668,1161,517,142,712,647,2230,494,454,502,331,691,983,192,306,643,291,220,226,41,417,879,1470,795,578,980,838,388,205,804,773
gene-Pocillopora_meandrina_HIv1___RNAseq.g5324.t1,106,299,158,73,70,56,298,402,29,150,56,25,128,189,45,39,113,100,104,24,0,34,133,254,111,116,329,75,88,27,235,109
gene-Pocillopora_meandrina_HIv1___TS.g24505.t2,552,571,691,983,185,990,678,765,176,470,394,320,395,469,268,284,443,262,458,193,26,405,449,664,508,443,573,230,291,309,400,398
gene-Pocillopora_meandrina_HIv1___RNAseq.g5810.t1,550,259,108,70,32,139,610,1118,138,228,172,47,214,535,251,129,573,235,212,19,51,315,372,994,286,221,668,106,302,31,637,387
gene-Pocillopora_meandrina_HIv1___RNAseq.g1753.t1,36054,19852,71101,29790,5433,10639,1423,139524,26945,2444,28068,41245,43552,40079,6212,8393,61083,4910,3326,1434,1942,5458,36222,91905,65107,14021,97745,5249,22914,4417,125368,11397
gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1,2081,1227,1396,848,364,1868,2713,1931,1938,2613,1095,701,1157,1027,2159,3207,1411,2511,3431,3250,103,2806,1324,1336,1278,1705,1549,2431,1556,1509,1284,4108
gene-Pocillopora_meandrina_HIv1___RNAseq.g1962.t1,39,148,62,64,10,22,248,242,29,85,42,49,88,100,33,35,128,52,77,23,0,41,61,120,72,55,180,58,41,23,66,90
gene-Pocillopora_meandrina_HIv1___RNAseq.g2119.t1,1062,1184,2356,924,578,1087,2513,2444,1195,2965,1522,1070,880,1310,732,1173,1027,1358,1126,1021,212,1020,1924,1958,1050,1334,1304,1969,1269,597,1609,951
gene-Pocillopora_meandrina_HIv1___RNAseq.g2165.t1,3470,12497,8813,9288,2790,2353,4391,6868,2169,2649,6360,4302,8468,5681,3212,3427,2392,1905,3878,1614,915,4703,5579,4350,5750,4845,3934,3021,2468,3426,4996,1305
gene-Pocillopora_meandrina_HIv1___RNAseq.g2535.t1,530,505,650,323,205,394,890,1248,454,562,336,330,530,471,320,307,411,351,625,172,113,438,585,737,397,355,772,614,468,290,605,670
gene-Pocillopora_meandrina_HIv1___RNAseq.14602_t,119,158,157,41,87,235,305,267,450,30,36,67,205,196,23,31,15,13,26,20,118,387,213,281,143,180,232,296,336,351,249,599
gene-Pocillopora_meandrina_HIv1___RNAseq.g8626.t1,281,395,263,212,21,47,63,478,109,29,151,82,161,389,44,31,154,29,52,2,0,76,153,338,261,178,369,84,149,79,328,115
gene-Pocillopora_meandrina_HIv1___RNAseq.g8663.t1,8310,3290,6166,2796,1100,4386,3495,23268,5659,3696,3974,5586,3127,4622,3818,5719,9924,5452,7330,1652,476,5039,6815,8576,6315,4358,17855,5610,5164,2148,18507,7393
gene-Pocillopora_meandrina_HIv1___RNAseq.g8829.t1,234,507,653,111,108,64,150,917,96,51,131,157,319,600,46,33,273,14,6,0,24,30,313,1075,287,86,403,14,223,40,752,40
gene-Pocillopora_meandrina_HIv1___RNAseq.g9085.t1,476,492,332,327,82,173,944,505,238,1015,281,150,430,435,582,572,427,921,723,69,58,465,371,417,363,339,514,448,406,242,497,606
gene-Pocillopora_meandrina_HIv1___RNAseq.g9518.t1,74,365,231,168,25,50,252,398,62,166,125,80,228,480,134,96,100,56,222,50,10,107,111,200,126,114,245,177,111,160,286,80
gene-Pocillopora_meandrina_HIv1___RNAseq.g9729.t1,944,887,1197,433,180,539,1355,1723,445,638,483,612,564,1127,207,385,777,329,511,672,81,826,857,1319,600,487,1122,658,800,212,924,321
gene-Pocillopora_meandrina_HIv1___RNAseq.g9829.t1,0,17,161,166,48,46,0,6,2,3,27,0,7,4,62,8,31,0,16,0,0,98,201,30,69,234,109,206,12,58,10,7
gene-Pocillopora_meandrina_HIv1___RNAseq.g9828.t1,156,106,699,417,262,221,129,69,57,175,194,50,98,30,705,191,217,55,313,143,38,887,879,209,453,867,250,451,100,326,89,146
