gene_id,POC-201-TP1,POC-201-TP2,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-259-TP1,POC-259-TP2,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP2,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
"('OG_14381', 'Pocillopora_meandrina_HIv1___RNAseq.g22397.t1')",5496,253,373,129,52,79,799,443,222,186,179,47,992,619,206,272,583,362,297,97,14,408,632,1581,512,280,789,276,710,287,1118,238
"('OG_03626', 'Pocillopora_meandrina_HIv1___RNAseq.g22398.t1')",2652,175,543,375,12,301,273,341,310,242,227,66,225,210,145,323,474,293,147,28,16,601,349,984,538,228,379,281,790,219,710,552
"('OG_16665', 'Pocillopora_meandrina_HIv1___RNAseq.g22571.t1')",2614,2656,1517,1812,244,1198,1672,3045,1831,710,1691,616,2238,3350,2375,1444,1620,1069,1314,72,246,1711,2271,2340,2367,984,1565,306,1837,1400,2388,577
"('OG_03451', 'Pocillopora_meandrina_HIv1___RNAseq.g22618.t1')",1852,1801,813,840,148,728,4166,1886,777,3433,1637,312,1244,1659,1829,2137,1458,2036,3100,295,91,2037,1323,1792,1278,2267,1745,916,2011,1130,1566,2604
"('OG_14365', 'Pocillopora_meandrina_HIv1___TS.g27478.t1')",0,19,3,0,0,0,0,3,7,7,0,0,0,0,17,9,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
"('OG_03484', 'Pocillopora_meandrina_HIv1___RNAseq.g22723.t1')",19,48,12,22,0,11,89,25,8,45,5,0,49,19,65,29,67,42,32,0,0,55,26,11,15,40,22,32,5,26,39,29
"('OG_03429', 'Pocillopora_meandrina_HIv1___RNAseq.g22811.t1')",1056,615,1538,284,105,1022,770,1081,600,99,517,183,579,1519,324,179,1611,558,272,242,37,203,377,828,471,266,1083,221,275,420,982,1236
"('OG_17157', 'Pocillopora_meandrina_HIv1___TS.g27929.t1')",101,121,101,21,0,45,55,72,73,41,102,11,153,128,124,69,300,72,108,59,0,72,308,89,68,76,55,13,34,36,34,62
"('OG_16573', 'Pocillopora_meandrina_HIv1___RNAseq.g18558.t1')",360,309,226,154,78,91,200,721,156,223,197,74,278,392,156,189,257,191,265,39,0,209,231,469,278,172,325,74,309,45,369,249
"('OG_17751', 'Pocillopora_meandrina_HIv1___TS.g27962.t1a')",2218,3252,1666,2783,205,1071,770,4333,2651,165,1401,412,2018,1813,1709,1551,3842,639,595,104,33,822,1576,2387,3732,1850,5165,1116,2350,1012,4800,1841
"('OG_05498', 'Pocillopora_meandrina_HIv1___RNAseq.g18656.t1')",554,1255,690,274,64,198,1175,1152,147,638,223,129,888,985,279,451,773,396,478,49,46,376,353,707,472,274,703,137,190,89,838,303
"('OG_05568', 'Pocillopora_meandrina_HIv1___RNAseq.g18778.t2')",231,172,125,121,83,125,113,145,239,96,177,101,199,274,158,114,238,134,100,8,39,105,107,188,141,132,140,72,194,101,197,150
"('OG_16980', 'Pocillopora_meandrina_HIv1___RNAseq.g18825.t1')",43,39,46,22,0,14,55,45,33,80,16,0,57,80,38,28,25,52,21,0,73,590,287,477,70,97,96,35,35,14,74,111
"('OG_14711', 'Pocillopora_meandrina_HIv1___RNAseq.g18918.t1')",9,13,14,20,0,0,40,95,34,47,0,18,19,41,21,5,24,30,14,136,0,24,28,53,56,13,38,7,27,39,0,20
"('OG_14710', 'Pocillopora_meandrina_HIv1___RNAseq.g18919.t1b')",165,403,217,128,21,106,342,356,104,349,363,223,230,285,77,65,263,138,165,166,0,95,144,331,232,83,320,62,205,122,374,107
"('OG_15682', 'Pocillopora_meandrina_HIv1___RNAseq.g19046.t1')",114,109,94,50,23,75,109,89,55,121,328,64,75,116,92,149,114,107,166,180,0,126,49,51,169,168,230,51,158,221,99,142
"('OG_18118', 'Pocillopora_meandrina_HIv1___TS.g28432.t1')",65,215,151,84,54,213,420,178,58,215,538,119,119,315,218,449,283,266,636,388,33,280,158,200,347,311,433,145,126,255,152,255
"('OG_01758', 'Pocillopora_meandrina_HIv1___RNAseq.g19049.t1a')",106,243,137,87,8,136,398,151,73,357,697,75,98,266,228,463,220,317,489,534,0,293,61,184,439,370,422,100,132,226,164,282
"('OG_17640', 'Pocillopora_meandrina_HIv1___RNAseq.g19079.t1')",44,40,9,7,0,9,20,50,14,18,27,9,22,23,17,23,41,0,0,0,0,3,10,38,63,29,31,8,27,0,42,25
"('OG_05514', 'Pocillopora_meandrina_HIv1___RNAseq.g19147.t1')",1665,1680,1605,1059,383,806,1371,2807,1019,1063,1757,698,1885,2122,532,612,1222,408,1167,130,64,530,745,1414,1557,1215,2376,854,1091,591,1790,977
"('OG_15920', 'Pocillopora_meandrina_HIv1___RNAseq.2731_t')",9,12,27,16,3,28,7,3,4,8,8,1,22,29,21,8,21,7,18,7,10,10,21,32,3,2,4,2,62,107,42,7
"('OG_17222', 'Pocillopora_meandrina_HIv1___RNAseq.g19273.t1')",0,10,11,0,0,0,0,0,0,0,3,0,12,8,30,2,17,3,0,0,0,0,0,0,0,0,7,7,0,0,0,0
"('OG_05308', 'Pocillopora_meandrina_HIv1___RNAseq.g19411.t1')",637,766,488,301,92,196,666,840,232,420,379,271,667,621,288,202,412,305,506,42,37,309,464,678,411,342,900,220,521,304,738,370
"('OG_05303', 'Pocillopora_meandrina_HIv1___RNAseq.g19437.t1')",16,6,5,5,0,0,0,22,0,0,0,0,0,34,7,0,25,7,0,4,0,10,9,0,10,14,12,0,29,0,13,0
"('OG_05304', 'Pocillopora_meandrina_HIv1___RNAseq.g19436.t1')",574,304,153,81,0,357,249,188,242,105,345,96,382,968,290,160,605,188,189,11,25,249,174,427,388,180,329,65,389,110,363,272
"('OG_01414', 'Pocillopora_meandrina_HIv1___TS.g28923.t1a')",2,0,0,0,0,0,18,18,0,14,0,0,15,23,17,0,30,13,16,0,0,0,0,0,7,22,9,0,14,0,10,8
"('OG_01452', 'Pocillopora_meandrina_HIv1___RNAseq.g19573.t1')",2748,1554,1073,1038,85,454,2154,2550,710,1460,1364,351,1183,1849,1808,1736,2204,1685,1791,17,86,1335,1442,2901,1949,1989,2142,577,2227,432,2889,1413
"('OG_14038', 'Pocillopora_meandrina_HIv1___RNAseq.g19574.t1')",831,1075,616,447,79,290,786,1676,424,593,477,213,841,1223,489,489,1030,349,645,31,20,462,716,1327,919,633,1272,298,564,220,1416,766
"('OG_14037', 'Pocillopora_meandrina_HIv1___RNAseq.g19575.t1')",2220,859,962,1101,69,438,1039,1093,1035,520,1018,134,963,1581,814,831,2993,538,690,26,135,574,1116,1827,2190,2107,1527,265,1643,375,2500,847
"('OG_16627', 'Pocillopora_meandrina_HIv1___RNAseq.g19691.t1')",46,105,9,10,0,0,131,160,0,59,47,10,141,159,29,10,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('OG_01781', 'Pocillopora_meandrina_HIv1___RNAseq.g19717.t1')",4779,1991,1853,1327,201,735,1330,3300,803,2222,1641,983,891,1622,1109,970,1992,998,959,368,59,998,1285,4158,2603,1195,3446,793,1758,571,3094,1396
"('OG_15906', 'Pocillopora_meandrina_HIv1___RNAseq.g19724.t1')",57,67,30,25,2,31,124,194,64,87,49,26,8,14,118,109,67,78,19,4,4,35,14,23,26,25,21,18,70,68,44,47
"('OG_05210', 'Pocillopora_meandrina_HIv1___RNAseq.g19748.t1')",459,655,564,310,151,555,383,1475,659,181,273,664,255,520,343,521,771,502,558,657,67,355,395,754,537,628,729,697,420,276,582,576
"('OG_17106', 'Pocillopora_meandrina_HIv1___RNAseq.g19816.t3')",171,138,414,410,26,168,0,0,0,575,502,187,518,471,692,672,895,664,381,80,72,1082,864,1893,0,34,49,27,0,0,19,94
"('OG_05366', 'Pocillopora_meandrina_HIv1___RNAseq.g19853.t1')",2329,1300,1922,1197,120,1228,1364,2060,890,2215,1175,685,935,880,1417,1814,939,2312,1994,1119,30,1463,918,2440,1154,1123,1450,1395,1425,641,1708,3188
"('OG_05367', 'Pocillopora_meandrina_HIv1___RNAseq.g19854.t1')",2573,2116,2687,1551,270,1638,903,3896,1046,1305,1678,1394,1723,1656,877,1368,1349,1126,1286,975,51,1281,1157,3820,1549,640,3442,1646,1218,751,3097,2758
"('OG_01608', 'Pocillopora_meandrina_HIv1___RNAseq.g19955.t1')",1607,1916,1501,969,132,411,4639,2726,451,4333,1406,526,2009,1931,1719,1260,1226,1637,1667,169,85,1031,1244,1958,1605,1240,1870,555,1000,620,1956,1745
"('OG_01611', 'Pocillopora_meandrina_HIv1___RNAseq.3492_t')",217,456,242,122,14,132,1794,682,142,1223,285,62,314,420,700,869,95,1198,1298,55,0,736,207,330,177,644,265,618,430,146,201,836
"('OG_01748', 'Pocillopora_meandrina_HIv1___RNAseq.g20079.t1')",61,24,71,27,0,6,63,68,48,26,40,0,75,74,83,27,124,62,33,42,0,41,49,102,60,26,81,0,19,51,61,80
"('OG_01747', 'Pocillopora_meandrina_HIv1___RNAseq.g20081.t1')",1172,1494,612,864,163,874,554,1321,453,975,1206,428,501,596,737,703,958,707,716,450,0,979,980,1005,1232,1462,1575,797,920,688,1560,1329
"('OG_01753', 'Pocillopora_meandrina_HIv1___RNAseq.g20104.t1')",10,4,9,0,0,0,5,6,0,0,0,0,16,13,5,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"('OG_14094', 'Pocillopora_meandrina_HIv1___RNAseq.g20093.t1')",382,645,119,57,23,56,197,330,104,119,199,269,97,159,70,45,135,76,56,50,54,541,478,706,128,62,151,124,153,107,196,196
"('OG_18275', 'Pocillopora_meandrina_HIv1___RNAseq.g20111.t1')",194,365,384,164,102,351,698,261,147,592,1253,255,225,353,255,618,382,331,1050,769,0,496,240,295,639,625,796,249,93,320,383,608
"('OG_01475', 'Pocillopora_meandrina_HIv1___RNAseq.g20251.t1')",127,210,70,139,45,35,697,158,22,856,229,23,129,115,121,67,121,352,99,55,0,53,110,236,68,75,111,79,88,111,114,30
"('OG_01579', 'Pocillopora_meandrina_HIv1___RNAseq.g20254.t1')",262,468,217,243,19,53,645,353,133,399,205,59,297,519,204,192,245,244,290,69,0,235,277,482,316,179,384,91,247,97,390,220
"('OG_15831', 'Pocillopora_meandrina_HIv1___RNAseq.g20404.t1')",531,94,68,115,13,75,159,169,127,212,118,50,71,71,85,62,123,27,148,30,21,65,64,163,144,158,153,78,73,45,116,157
"('OG_01486', 'Pocillopora_meandrina_HIv1___RNAseq.g20422.t1')",15083,980,7043,5038,333,11083,2086,6025,9905,3082,5232,6287,3024,1872,5805,15940,11413,9365,6285,4546,85,9714,4133,15041,10809,4403,15383,8370,6524,2145,14191,23418
"('OG_01489', 'Pocillopora_meandrina_HIv1___RNAseq.g20426.t1')",2361,4619,4198,3015,131,701,6572,6510,1338,4526,2406,1575,4563,3819,1314,1330,2139,1525,2438,149,49,1246,2768,4378,4207,1486,5065,366,1605,975,4803,1018
"('OG_01630', 'Pocillopora_meandrina_HIv1___RNAseq.g20530.t1')",5445,4146,2597,3638,201,1275,21493,3687,1666,14329,4903,844,3407,2763,10814,8886,4149,11770,11432,524,131,5930,3665,3636,4543,7313,3269,2670,5061,2537,4425,5155
"('OG_01724', 'Pocillopora_meandrina_HIv1___RNAseq.g20538.t1')",166,217,122,83,20,67,840,430,38,1778,139,13,186,132,146,131,159,518,302,110,0,151,160,283,180,168,369,88,116,52,237,305
"('OG_01727', 'Pocillopora_meandrina_HIv1___TS.g29924.t1')",15,17,18,11,0,0,6,16,17,0,29,22,31,19,0,0,12,11,38,7,0,13,17,15,39,0,27,0,0,0,15,12
"('OG_18057', 'Pocillopora_meandrina_HIv1___TS.g396.t1')",270,126,162,272,30,132,1360,316,226,122,168,64,256,303,124,52,505,98,151,82,0,130,205,379,303,244,460,158,130,81,424,296
"('OG_15383', 'Pocillopora_meandrina_HIv1___RNAseq.g6672.t1')",31,14,4,4,0,5,34,11,7,36,17,0,22,9,23,47,70,16,42,8,0,9,35,21,36,9,54,5,27,13,0,17
"('OG_01155', 'Pocillopora_meandrina_HIv1___RNAseq.g6698.t2')",10963,1557,1731,901,452,4506,10181,1758,3292,22551,3977,998,1226,1337,15517,14264,2030,12943,12437,11834,984,9846,1117,2594,1167,4816,2150,10137,6869,10000,1948,19563
"('OG_10007', 'Pocillopora_meandrina_HIv1___RNAseq.g6708.t1')",9054,8387,6417,2442,932,8299,6280,5173,4564,7255,3828,7123,2485,4492,3096,4774,3152,4975,5524,5006,1147,7985,3471,6999,2877,3142,4837,7954,5226,5129,5858,12248
"('OG_10004', 'Pocillopora_meandrina_HIv1___TS.g489.t1')",98,139,189,105,28,83,165,123,104,176,95,74,114,121,166,79,106,133,98,90,57,65,82,117,54,82,98,118,101,67,77,125
"('OG_10002', 'Pocillopora_meandrina_HIv1___RNAseq.g6748.t1')",40707,6882,13554,20034,4253,4492,5697,17679,7771,14091,24672,7895,10976,8601,15762,9632,12483,8503,7795,2165,2115,9572,14666,19430,24731,10041,23567,6470,15571,10468,21443,6315
"('OG_09986', 'Pocillopora_meandrina_HIv1___TS.g546.t1')",586,493,260,241,20,90,365,435,108,154,221,47,328,397,65,92,270,77,91,70,0,142,204,619,629,173,856,42,161,57,676,167
"('OG_09969', 'Pocillopora_meandrina_HIv1___RNAseq.g6826.t2')",369,434,323,216,28,182,219,319,152,275,193,278,211,281,105,143,254,128,108,154,28,218,188,566,260,142,398,216,292,118,433,384
"('OG_10183', 'Pocillopora_meandrina_HIv1___RNAseq.g6952.t1')",315,195,142,106,34,127,69,220,147,232,139,151,115,98,52,71,314,100,80,50,6,158,131,311,309,225,471,186,210,155,328,219
"('OG_15550', 'Pocillopora_meandrina_HIv1___RNAseq.g6954.t1')",177,229,183,121,16,20,130,369,15,217,116,19,246,249,51,38,93,51,53,29,0,57,162,289,143,43,280,13,42,8,173,26
"('OG_18285', 'Pocillopora_meandrina_HIv1___RNAseq.g6970.t1')",2943,1520,2267,1092,84,1981,1512,1710,1117,2045,1324,1898,727,862,626,977,1900,1251,1039,1841,37,1040,849,2686,1080,1046,1976,1261,1304,827,2107,2359
"('OG_17347', 'Pocillopora_meandrina_HIv1___TS.g736.t1')",8,0,15,4,0,0,10,17,8,0,0,8,0,10,3,0,13,2,0,0,0,0,0,4,6,0,8,0,5,4,19,0
"('OG_09942', 'Pocillopora_meandrina_HIv1___RNAseq.g7005.t1')",448,675,1032,582,237,534,553,1078,421,511,507,696,759,615,256,241,436,347,499,396,299,314,565,635,731,354,693,407,490,365,819,728
"('OG_09896', 'Pocillopora_meandrina_HIv1___RNAseq.g7016.t1')",1040,1916,1179,655,65,1141,876,2212,663,618,992,605,670,1506,521,1037,1075,669,799,347,27,1059,1156,1823,718,1165,1654,1068,727,329,1125,4434
"('OG_09897', 'Pocillopora_meandrina_HIv1___TS.g753.t1')",18,46,15,21,0,14,34,15,5,31,98,28,43,53,30,14,15,35,53,8,0,36,6,13,41,53,34,6,3,30,17,16
"('OG_09174', 'Pocillopora_meandrina_HIv1___RNAseq.g7297.t1b')",890,782,582,435,14,423,1342,1117,770,1397,645,273,724,647,1343,1497,1072,1516,1682,366,23,776,451,589,678,1087,811,470,1313,777,899,1343
"('OG_15551', 'Pocillopora_meandrina_HIv1___RNAseq.g7414.t1')",0,0,4,0,0,133,0,0,0,0,23,24,0,4,10,0,0,0,0,39,0,0,0,2,0,2,5,141,5,2,0,758
"('OG_10205', 'Pocillopora_meandrina_HIv1___RNAseq.g7413.t1')",105,995,293,579,91,28,102,830,95,1247,423,206,868,113,209,2667,91,756,1349,308,13,3141,4765,246,554,1143,792,617,244,256,159,41
"('OG_10332', 'Pocillopora_meandrina_HIv1___RNAseq.g7367.t1')",25627,4992,9018,11829,2674,2599,4718,15023,5280,8680,14238,5717,8323,6506,10043,6729,9789,5621,4881,1927,1004,7088,11126,14036,16642,6081,16589,4099,10816,4240,14909,3131
"('OG_15140', 'Pocillopora_meandrina_HIv1___RNAseq.g7495.t1')",493,373,130,94,253,279,102,622,260,192,642,410,444,413,191,417,741,131,248,42,58,437,414,523,1150,419,1100,45,312,430,1129,174
"('OG_14180', 'Pocillopora_meandrina_HIv1___TS.g1292.t2')",1605,2069,3995,2406,359,1641,2920,5122,2496,4180,3270,1212,1937,2980,1720,2716,3935,3938,2212,840,144,1653,2156,4194,2550,2519,1755,1713,3617,2386,4806,2333
"('OG_15374', 'Pocillopora_meandrina_HIv1___RNAseq.g7549.t1')",67,138,17,17,0,9,59,34,33,30,42,0,49,84,24,32,52,112,142,182,0,33,6,21,94,50,72,20,38,40,54,30
"('OG_01312', 'Pocillopora_meandrina_HIv1___RNAseq.g7581.t1')",1752,988,496,439,23,198,1237,1114,209,880,657,110,544,818,516,661,573,566,517,54,15,701,477,1251,1306,479,1233,162,955,226,1084,357
"('OG_18078', 'Pocillopora_meandrina_HIv1___RNAseq.g7624.t1')",35,53,33,37,14,16,27,115,4,14,17,19,37,97,6,4,34,4,11,5,0,3,25,88,18,29,118,0,13,0,87,10
"('OG_14994', 'Pocillopora_meandrina_HIv1___RNAseq.g7669.t1a')",14,35,3,8,0,0,40,70,45,5,26,24,13,21,9,5,9,7,0,0,7,26,73,85,15,13,8,4,14,0,17,12
"('OG_03780', 'Pocillopora_meandrina_HIv1___RNAseq.g7729.t1')",12088,832,4443,1065,36,1516,2463,5354,2168,167,1870,998,378,1224,130,175,1262,414,10,38,78,278,362,8217,2579,96,1896,322,1580,95,2291,2092
"('OG_09310', 'Pocillopora_meandrina_HIv1___RNAseq.g7741.t1b')",1208,720,493,396,38,294,797,890,686,1928,688,718,513,509,2020,2145,913,1634,2035,448,16,1701,390,591,637,533,1211,1166,1160,688,1135,2936
"('OG_10109', 'Pocillopora_meandrina_HIv1___RNAseq.g7915.t1')",285,297,288,244,25,234,1253,362,121,815,161,45,368,262,278,167,116,216,453,55,74,196,182,245,197,156,237,172,240,130,221,242
"('OG_10121', 'Pocillopora_meandrina_HIv1___RNAseq.g7964.t1')",511,700,713,402,22,194,3349,1005,358,2993,443,184,594,529,1227,1484,353,3530,2915,199,13,1172,417,777,533,789,569,644,517,237,761,1036
"('OG_15544', 'Pocillopora_meandrina_HIv1___RNAseq.g8011.t1')",800,1121,1285,1091,177,563,152,2734,899,313,814,277,1293,1451,321,1051,945,621,604,183,207,815,1619,2661,1453,955,806,842,686,418,1396,532
"('OG_09657', 'Pocillopora_meandrina_HIv1___RNAseq.g15123.t1')",1708,1913,2128,1169,301,625,2162,4344,809,1487,927,433,1754,2292,891,1015,1677,1021,1364,50,53,959,1174,3026,1698,1017,1993,643,1273,427,2675,1301
"('OG_17150', 'Pocillopora_meandrina_HIv1___RNAseq.g15308.t1')",0,0,0,0,0,0,2,14,12,0,0,0,2,2,0,0,36,28,0,37,0,0,0,3,16,9,16,0,11,19,4,0
"('OG_17014', 'Pocillopora_meandrina_HIv1___RNAseq.g15484.t1')",4581,6719,8267,6039,3339,5864,7181,9421,4675,6819,6755,6695,6941,6508,3866,5030,4743,5329,6801,9829,1345,6623,9101,6084,5027,4769,6185,8004,4775,4379,5960,6989
"('OG_06247', 'Pocillopora_meandrina_HIv1___RNAseq.g15521.t1')",148,110,83,44,0,36,178,148,88,85,64,30,200,216,215,68,207,131,101,59,0,59,122,109,104,99,141,5,116,101,164,127
"('OG_06198', 'Pocillopora_meandrina_HIv1___RNAseq.g15556.t1')",2494,3470,4309,3621,1094,1490,1126,7266,2049,302,1943,1221,3306,3535,2226,1925,2435,610,1068,127,406,1616,4063,3597,2805,2591,2835,1085,3122,1208,5224,879
"('OG_09487', 'Pocillopora_meandrina_HIv1___RNAseq.g15591.t1')",5774,1770,1655,1982,395,660,3158,3456,861,3432,2434,1327,1795,1665,1510,1601,2192,1404,1584,281,512,1752,1995,5498,3246,2249,3241,652,3538,630,2870,1647
"('OG_09486', 'Pocillopora_meandrina_HIv1___RNAseq.g15592.t1')",4311,949,1106,1083,101,456,2099,2520,556,2522,1386,290,1084,1210,1051,1422,1665,915,1128,59,95,1278,1586,4363,2592,1556,2848,564,2389,294,2444,1212
"('OG_09455', 'Pocillopora_meandrina_HIv1___RNAseq.g15689.t1')",4749,4733,2448,2344,441,1630,5822,5392,1923,5532,4004,627,2862,4814,4434,5492,3971,5139,5061,278,386,3440,2940,5986,4911,6147,4358,1719,4949,1238,5370,4377
"('OG_15459', 'Pocillopora_meandrina_HIv1___TS.g10820.t1')",2398,633,714,572,177,935,736,1080,1159,69,991,193,1099,1476,1745,376,5329,689,531,64,139,314,762,1551,1295,656,1501,186,1746,1261,1885,1273
"('OG_09638', 'Pocillopora_meandrina_HIv1___RNAseq.g15818.t1')",0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,4,13,0,7,0,0,0,0,12,0,0,0,8,10,0,0
"('OG_15462', 'Pocillopora_meandrina_HIv1___RNAseq.g15815.t1')",84,58,97,47,9,31,176,130,69,22,23,47,79,98,14,6,56,5,23,14,0,21,40,94,67,41,74,5,54,16,127,27
"('OG_09596', 'Pocillopora_meandrina_HIv1___RNAseq.g15788.t1')",106963,21050,63026,51171,11055,44090,45028,53487,66237,11238,41760,22412,34408,23286,77116,60929,87917,41294,47016,2774,10590,33621,42165,59971,67939,67662,50944,49183,81731,30091,106421,89698
"('OG_09597', 'Pocillopora_meandrina_HIv1___RNAseq.g15789.t1')",15956,2251,3019,4818,706,3042,9898,4142,5598,3322,5969,726,2909,2838,9718,7198,9942,5020,5931,42,1103,3223,5278,5660,9315,9353,3156,2669,15748,2879,8674,7071
"('OG_09598', 'Pocillopora_meandrina_HIv1___RNAseq.g15790.t1')",21187,4587,6094,7536,2313,5902,6872,7471,8303,935,5299,1508,6549,5433,5788,6080,13946,2847,12264,350,4184,5241,7469,8889,6337,9611,5742,3792,13299,4957,14528,8811
"('OG_09511', 'Pocillopora_meandrina_HIv1___RNAseq.g15976.t1')",979,693,415,420,64,187,1133,1096,279,711,516,89,556,729,538,409,821,464,485,43,69,244,520,1067,662,496,854,184,736,175,1087,462
"('OG_14685', 'Pocillopora_meandrina_HIv1___RNAseq.g16038.t1')",286,309,419,268,76,308,256,433,239,195,404,676,248,413,342,268,474,354,141,136,86,269,407,467,277,207,328,261,408,184,540,284
"('OG_14889', 'Pocillopora_meandrina_HIv1___RNAseq.g16088.t1')",3,13,0,17,0,0,2,0,0,2,0,0,7,0,0,0,0,0,21,0,0,7,0,0,13,0,0,4,0,22,0,0
"('OG_09424', 'Pocillopora_meandrina_HIv1___RNAseq.g16095.t1')",943,984,534,323,57,249,1893,1845,387,848,428,222,642,1181,769,760,1030,1016,1177,129,37,641,704,1303,684,658,1197,304,788,273,1280,999
"('OG_09423', 'Pocillopora_meandrina_HIv1___RNAseq.g16096.t1')",1396,1099,1210,970,258,1014,1325,1242,1091,1032,1103,669,627,1237,1212,1572,964,1301,2250,731,175,2315,1024,1123,693,1192,876,1565,1430,708,936,1666
