gene_id,POC-201-TP1,POC-201-TP2,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-259-TP1,POC-259-TP2,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP2,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
"('OG_02619', 'Pocillopora_meandrina_HIv1___TS.g25680.t1b')",69,15,56,12,0,11,52,10,10,101,61,12,41,25,48,14,73,12,32,0,0,32,14,54,54,11,41,4,13,34,56,63
"('OG_02666', 'Pocillopora_meandrina_HIv1___RNAseq.g21004.t1')",5719,382,564,1024,107,2684,1938,913,2442,2788,1510,1289,322,259,3764,5399,2270,4078,4371,3852,62,5413,855,946,1585,2142,1229,3440,3427,3899,1376,6985
"('OG_03673', 'Pocillopora_meandrina_HIv1___RNAseq.g21081.t1')",1379,986,491,417,143,635,1657,1098,816,2323,818,322,622,1003,3995,7472,1580,6398,4525,271,134,3566,710,1053,1257,2133,1233,1322,1616,561,1151,3769
"('OG_03671', 'Pocillopora_meandrina_HIv1___RNAseq.g21079.t1')",12,827,35,161,19,0,4142,14398,6419,633,65,40,296,40,57,1114,13,240,675,148,921,8694,14766,12824,199,608,199,145,46,31,73,19
"('OG_02537', 'Pocillopora_meandrina_HIv1___TS.g26115.t1')",27,56,23,33,0,23,456,12,13,616,106,0,326,330,460,222,42,307,382,93,0,139,63,28,83,56,33,44,27,209,8,76
"('OG_17556', 'Pocillopora_meandrina_HIv1___RNAseq.g21507.t1')",11,12,4,15,0,9,0,25,5,0,15,0,7,14,33,2,10,0,10,0,0,15,22,17,24,15,15,0,46,3,85,19
"('OG_16359', 'Pocillopora_meandrina_HIv1___RNAseq.g21658.t1')",0,14,6,0,0,11,0,0,0,14,0,0,24,0,7,0,0,0,10,0,0,8,0,2,0,0,11,13,26,0,0,7
"('OG_03857', 'Pocillopora_meandrina_HIv1___RNAseq.g21710.t1')",111,80,97,30,0,48,131,83,17,36,29,0,142,104,69,13,241,122,81,7,0,29,51,92,43,92,80,7,48,28,95,162
"('OG_03856', 'Pocillopora_meandrina_HIv1___RNAseq.g21711.t1')",94,48,37,6,0,0,107,29,12,16,42,0,65,55,37,15,86,43,30,22,0,5,22,46,37,16,55,0,5,23,69,66
"('OG_14408', 'Pocillopora_meandrina_HIv1___TS.g26462.t2')",13,36,66,34,0,26,49,65,81,22,11,8,63,38,63,21,58,10,8,0,0,33,57,56,35,6,29,0,37,57,16,31
"('OG_03850', 'Pocillopora_meandrina_HIv1___RNAseq.g21717.t1')",99,20,28,29,11,14,56,55,12,25,23,0,60,22,54,27,69,42,53,24,0,15,18,19,53,34,40,0,61,46,57,57
"('OG_14407', 'Pocillopora_meandrina_HIv1___RNAseq.g21724.t1')",2033,1612,2759,1379,399,1871,1516,4339,1321,1152,2466,1476,1664,1876,545,1090,1364,1211,1142,1586,51,1425,1574,4391,1947,914,3029,1572,1138,640,2360,1842
"('OG_17058', 'Pocillopora_meandrina_HIv1___TS.g26480.t1')",788,657,887,549,180,598,338,745,244,285,348,354,384,397,181,489,457,305,360,218,43,589,454,1421,467,289,854,270,417,220,803,491
"('OG_02690', 'Pocillopora_meandrina_HIv1___RNAseq.g21821.t1')",1386,429,424,325,80,386,1136,517,678,254,544,168,743,1055,502,255,1229,472,484,89,125,1070,845,1782,687,301,564,133,540,398,738,822
"('OG_00314', 'Pocillopora_meandrina_HIv1___RNAseq.g22341.t1')",1445,32465,19344,15380,3874,6845,3066,32266,13040,7113,14979,10531,16739,31844,11894,25844,3401,11337,16799,8309,1142,15926,23458,18828,23878,31093,14449,33662,6589,14478,5057,4423
"('OG_03628', 'Pocillopora_meandrina_HIv1___RNAseq.g22389.t1')",436,511,608,429,28,151,561,977,218,460,154,158,406,360,626,617,656,646,540,43,0,197,343,632,480,291,641,244,159,89,294,391
"('OG_14382', 'Pocillopora_meandrina_HIv1___TS.g27157.t1')",954,453,799,411,32,351,687,452,415,125,436,57,1291,864,424,156,841,349,197,184,75,160,313,636,702,440,914,120,382,540,769,987
"('OG_14380', 'Pocillopora_meandrina_HIv1___RNAseq.g22401.t1')",166,121,64,49,0,77,156,178,55,40,67,23,296,260,121,110,243,102,122,23,0,73,95,163,239,161,164,24,138,73,83,163
