mirna_id,POC-201-TP1,POC-201-TP2,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-259-TP1,POC-259-TP2,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP2,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
Cluster_4,20,70,8,44,2,2,110,61,6,337,177,4,99,151,45,202,84,180,101,111,0,164,32,27,28,216,7,3,46,120,43,13
Cluster_20,538,1182,50,200,10,33,497,283,57,7176,2244,74,2313,3183,273,2069,1046,2788,743,804,3,2038,588,705,134,1186,236,48,453,279,438,304
Cluster_321,409,675,26,133,8,33,1101,1080,145,5942,1611,57,2438,2402,363,2924,1237,3449,2335,2954,2,2527,1321,1113,131,1801,240,83,440,241,495,336
Cluster_372,3490,6451,507,2291,47,186,20138,7821,1619,95668,28434,474,20214,20852,3534,31324,12483,46907,30983,34435,26,22344,10524,9029,2315,8602,1418,293,8040,1867,5764,3467
Cluster_425,21,20,3,11,2,2,236,116,14,233,117,1,129,210,72,346,172,293,158,202,1,70,16,41,58,193,12,2,59,40,18,9
Cluster_789,266,138,45,50,4,31,746,389,104,1962,412,48,516,632,162,815,688,989,317,405,1,855,277,380,63,481,109,30,129,115,140,158
Cluster_958,4774,18301,510,4473,81,224,15746,9695,1495,67651,42448,678,21279,53641,3325,66053,18685,60011,69447,43841,40,57963,16366,11915,3128,46244,4854,1026,9529,4906,13526,5530
Cluster_1047,408,209,76,83,19,23,1011,636,187,2797,611,68,1005,1197,206,1352,1054,1232,1031,781,1,1063,405,622,149,673,195,43,256,104,232,206
Cluster_1094,33,5,4,14,1,4,47,38,14,61,35,5,64,109,25,31,82,72,31,17,1,15,5,34,15,49,15,1,22,16,12,11
Cluster_1104,173,206,17,33,0,7,379,202,36,1615,517,17,467,494,63,1305,214,879,540,378,0,829,282,240,42,772,74,27,124,73,175,93
Cluster_1126,32,52,0,10,1,3,137,86,24,331,66,5,123,182,16,128,89,153,103,104,3,66,32,35,6,122,22,11,50,32,66,14
Cluster_1159,142,170,16,35,3,18,228,138,22,575,481,13,226,390,97,611,232,345,249,330,2,382,100,132,16,217,48,20,109,64,88,60
Cluster_1338,99,127,15,33,6,17,229,197,37,903,214,18,240,611,77,756,423,790,218,267,0,257,233,145,33,220,50,31,73,65,43,66
Cluster_1345,34972,25441,3658,8787,375,1335,68309,54231,11798,234459,78150,3649,103040,93065,13050,134500,89443,146448,91530,80387,176,67541,25160,53236,10973,78000,14651,3103,43503,8136,40163,18722
Cluster_1827,3063,940,220,357,227,100,7219,3811,1347,30120,4709,183,10552,5781,1949,8951,6148,18632,9627,12195,27,4906,1711,3769,2531,6117,624,318,4970,942,1607,1011
