mirna_id,POC-201-TP1,POC-201-TP2,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-259-TP1,POC-259-TP2,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP2,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
Cluster_1970,2966,1318,380,369,264,137,8953,3108,1347,38871,4267,308,12480,2871,1231,7712,4182,11814,5756,6853,41,3668,2310,3775,2007,3129,521,193,3037,714,1687,884
Cluster_1990,1284,727,68,247,12,38,2636,1067,290,7601,2419,69,1693,2511,564,2250,2056,4309,2881,3012,10,1808,647,1336,471,1687,181,56,924,272,478,284
Cluster_1991,476,273,40,146,26,48,1587,842,258,5922,841,60,1505,1455,366,2585,1930,2290,1096,1150,6,1012,478,888,197,1045,201,66,383,189,371,298
Cluster_2871,25,16,8,22,0,6,76,18,10,107,59,2,88,149,8,112,87,89,48,67,0,103,37,61,29,75,18,2,29,25,35,17
Cluster_2873,12,18,2,11,0,3,70,31,17,228,41,2,57,89,17,99,34,107,56,65,0,65,28,35,5,98,5,3,17,25,31,6
Cluster_2897,28,40,17,56,5,14,200,101,31,268,154,5,102,179,66,150,243,438,142,128,0,111,40,82,26,217,58,15,71,68,44,53
Cluster_3017,35,31,11,6,0,2,138,65,17,180,49,4,140,217,60,121,103,124,74,51,1,81,27,80,11,109,24,4,37,67,27,17
Cluster_3415,1279,1672,72,180,24,31,1724,971,115,16060,1678,60,5678,2653,464,10412,1227,6306,2498,2607,4,4787,2043,1117,206,3334,335,87,681,356,699,608
Cluster_3713,65,93,39,156,68,28,270,272,65,516,422,33,219,545,55,224,304,220,317,274,9,352,175,325,26,209,109,24,121,154,159,67
Cluster_4092,369,64,27,16,1,9,725,546,137,1125,187,16,507,404,195,533,683,901,291,298,1,215,91,372,170,426,73,14,205,61,147,77
Cluster_4094,9,19,6,10,5,6,43,22,9,203,18,0,58,34,14,81,43,68,37,31,0,47,36,28,12,71,15,8,28,8,31,24
Cluster_4485,1593,651,149,109,28,47,3335,1037,271,18438,960,50,4934,1384,505,4346,1702,3663,1893,1995,15,2085,1204,1453,387,1939,279,110,699,382,499,421
Cluster_4487,3431,1010,386,325,60,152,9369,3049,1231,54775,4598,531,17014,6595,1377,9764,5620,9075,5765,6097,2,5437,2413,4040,2042,6159,999,328,2366,687,1679,1974
Cluster_4489,382,141,40,40,49,10,1932,1280,212,1995,1190,91,1068,2465,746,1557,1992,1482,829,847,5,782,68,1014,579,1654,308,82,246,72,380,396
Cluster_4490,1222,480,79,132,20,27,3629,1395,454,11560,1373,60,4520,2160,620,3002,1865,3898,1801,1863,6,1633,788,1735,854,2589,289,77,1152,248,653,611
Cluster_4609,838,835,135,407,37,63,3043,1207,283,17665,2969,103,5289,3223,479,4584,1881,6390,2882,3088,3,3457,1462,1433,446,3514,310,138,825,318,648,531
Cluster_4826,441,335,77,127,17,59,1992,953,358,3613,1225,84,1285,2217,327,2819,2302,1743,1015,913,3,1243,662,870,266,1253,241,69,457,264,378,408
Cluster_4827,270,290,39,148,9,30,315,192,46,5649,806,43,1412,649,81,1154,361,1482,477,890,5,1095,554,435,32,396,57,35,391,113,260,127
Cluster_5123,4,4,3,5,4,4,56,26,13,87,8,1,26,32,18,35,14,33,21,16,0,43,16,10,1,17,5,6,4,10,11,6
Cluster_5226,109,77,15,36,2,5,318,252,19,549,298,11,327,283,62,438,312,443,188,225,0,156,58,160,31,243,60,7,202,138,83,36
Cluster_5267,8,17,8,7,3,3,24,32,6,55,25,1,22,49,11,43,85,27,20,21,0,108,41,36,3,38,18,3,9,27,20,19
Cluster_5627,463,129,51,79,40,39,439,490,159,942,305,46,529,514,71,439,1148,589,492,681,3,393,137,461,97,294,169,65,491,137,359,307
Cluster_5749,333,422,47,91,30,30,783,488,90,7474,775,61,2278,891,138,2000,547,1811,1113,1366,3,1051,719,480,155,800,186,61,379,259,400,343
Cluster_6456,147,149,12,85,8,22,290,213,26,1209,385,18,492,674,70,619,372,569,459,356,1,528,179,177,45,746,103,29,92,130,106,137
Cluster_6807,248,363,17,80,7,11,621,442,65,2942,616,18,740,1059,179,1886,754,1664,825,737,0,1290,462,502,69,1360,159,42,327,164,364,243
